category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:35061003	7	38	9606	LCP2,ZAP70,CD3D,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,LAT,VAV1,LCK	6.49e-17	1.24e-11	(2022) Systems-level conservation of the proximal TCR signaling network of mice and humans.
PMID	PMID:35014847	7	39	9606	LCP2,ZAP70,CD3E,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD3E,CD247,LAT,VAV1,LCK	7.66e-17	1.41e-11	(2022) SILAC Phosphoproteomics Reveals Unique Signaling Circuits in CAR-T Cells and the Inhibition of B Cell-Activating Phosphorylation in Target Cells.
PMID	PMID:21887278	6	12	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	1.05e-16	1.86e-11	(2011) Spatial association of signaling proteins and F-actin effects on cluster assembly analyzed via photoactivation localization microscopy in T cells.
PMID	PMID:34012443	7	42	9606	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	1.23e-16	2.11e-11	(2021) Naturally Occurring Genetic Alterations in Proximal TCR Signaling and Implications for Cancer Immunotherapy.
PMID	PMID:34456914	7	43	9606	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	1.43e-16	2.37e-11	(2021) The Clinical Aspect of Adaptor Molecules in T Cell Signaling: Lessons Learnt From Inborn Errors of Immunity.
PMID	PMID:34429382	7	45	9606	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,LCK	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,LCK	1.91e-16	3.07e-11	(2021) Comparative analysis of TCR and CAR signaling informs CAR designs with superior antigen sensitivity and in vivo function.
PMID	PMID:24119664	7	46	9606	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	2.2e-16	3.42e-11	(2014) Immune synapse: conductor of orchestrated organelle movement.
PMID	PMID:22737151	6	14	9606	TYROBP,ZAP70,CD3D,CD3E,CD247,LCK	TYROBP,ZAP70,CD3D,CD3E,CD247,LCK	2.19e-16	3.42e-11	(2012) TCR Signaling Emerges from the Sum of Many Parts.
PMID	PMID:17579062	6	14	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	2.19e-16	3.42e-11	(2007) Recombinant anti-CD4 antibody 13B8.2 blocks membrane-proximal events by excluding the Zap70 molecule and downstream targets SLP-76, PLC gamma 1, and Vav-1 from the CD4-segregated Brij 98 detergent-resistant raft domains.
PMID	PMID:33598461	8	112	9606	LCP2,TYROBP,CBL,ZAP70,CD247,LAT,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,CD247,LAT,VAV1,LCK	2.42e-16	3.46e-11	(2021) The Role of the Cytoskeleton in Regulating the Natural Killer Cell Immune Response in Health and Disease: From Signaling Dynamics to Function.
PMID	PMID:21136199	7	48	9606	LCP2,TYROBP,CBL,ZAP70,LAT,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,LAT,VAV1,LCK	2.9e-16	4.03e-11	(2011) A tale of two TRAPs: LAT and LAB in the regulation of lymphocyte development, activation, and autoimmunity.
PMID	PMID:19909357	7	53	9606	LCP2,TYROBP,ZAP70,CD247,LAT,VAV1,LCK	LCP2,TYROBP,ZAP70,CD247,LAT,VAV1,LCK	5.51e-16	7.46e-11	(2009) Regulation of lymphocyte development and activation by the LAT family of adapter proteins.
PMID	PMID:23278738	6	17	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	5.71e-16	7.53e-11	(2013) Super-resolution characterization of TCR-dependent signaling clusters.
PMID	PMID:11038169	6	17	9606	LCP2,CBL,ZAP70,LAT,SHC1,LCK	LCP2,CBL,ZAP70,LAT,SHC1,LCK	5.71e-16	7.53e-11	(2000) Selective accumulation of raft-associated membrane protein LAT in T cell receptor signaling assemblies.
PMID	PMID:9362531	6	17	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	5.71e-16	7.53e-11	(1997) Regulation of ZAP-70 intracellular localization: visualization with the green fluorescent protein.
PMID	PMID:19187548	7	54	9606	LCP2,CBL,ZAP70,CD247,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD247,SHC1,VAV1,LCK	6.23e-16	7.62e-11	(2009) Nck adapter proteins: functional versatility in T cells.
PMID	PMID:36045187	7	55	9606	LCP2,ZAP70,CD3D,CD247,SHC1,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,SHC1,VAV1,LCK	7.02e-16	8.39e-11	(2022) Kinetic proofreading through the multi-step activation of the ZAP70 kinase underlies early T cell ligand discrimination.
PMID	PMID:35346866	7	56	9606	LCP2,ZAP70,CD3D,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,LAT,VAV1,LCK	7.89e-16	9.23e-11	(2022) Negative times negative equals positive, THEMIS sets the rule on thymic selection and peripheral T cell responses.
PMID	PMID:38279272	7	57	9606	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	8.86e-16	1.01e-10	(2024) The Role of the CD28 Family Receptors in T-Cell Immunomodulation.
PMID	PMID:30655520	6	19	9606	LCP2,CBL,ZAP70,CD3D,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,VAV1,LCK	1e-15	1.12e-10	(2019) TCR microclusters form spatially segregated domains and sequentially assemble in calcium-dependent kinetic steps.
PMID	PMID:19733910	6	19	9606	LCP2,CBL,ZAP70,CD3E,VAV1,LCK	LCP2,CBL,ZAP70,CD3E,VAV1,LCK	1e-15	1.12e-10	(2009) The Sts proteins target tyrosine phosphorylated, ubiquitinated proteins within TCR signaling pathways.
PMID	PMID:27221707	6	20	9606	LCP2,TYROBP,CBL,ZAP70,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,VAV1,LCK	1.3e-15	1.39e-10	(2016) Suppressing the killer instinct.
PMID	PMID:25990959	6	20	9606	LCP2,CBL,ZAP70,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,SHC1,VAV1,LCK	1.3e-15	1.39e-10	(2015) The catalytic activity of the kinase ZAP-70 mediates basal signaling and negative feedback of the T cell receptor pathway.
